,Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Consumer price index (2010 = 100),Life expectancy at birth (years),Mean years of schooling (years),Gender Development Index (GDI),"Unemployment, total (% of labour force)","Carbon dioxide emissions, production emissions per capita (tonnes)",Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),"Person held per 100,000 population",Happiness Index
47,Kuwait,Middle East and North Africa,231.95834268612066,31843.926344387568,60.7451595380732,0.350729517396184,125.464429820998,75.39966666666668,7.276,0.9766666666666667,2.018666666666667,23.884,70.08772,5.15,2.5733333333333337,129.155450536,6.102099895
48,Mauritius,Sub-Saharan Africa,623.2556650246307,10930.140385875167,14.4578273223582,19.0591133004926,128.22026314087034,74.86533333333334,9.43,0.9726666666666667,6.694333333333333,3.79,63.93715,5.775,8.843333333333334,185.9558092845,6.101299763
49,Kazakhstan,Commonwealth of Independent States,6.769628847649737,9624.26783678114,13.8242883553909,1.2579917768640967,178.86281112286133,73.188,11.813666666666668,0.992,4.771666666666667,16.617,64.98934,3.025,19.551533333333335,196.629691615,6.057899952
50,Estonia,Central and Eastern Europe,30.413764281880233,22278.901472763067,6.73212401545877,56.0938578329883,119.00679494506899,78.557,13.078666666666669,1.0166666666666666,5.413666666666667,14.462,69.23646,6.640000000000001,12.896799999999999,196.43871882500002,6.021800041
51,Philippines,Southeast Asia,357.67172753798167,3286.8989199154635,18.0697989132741,23.875015371544166,125.43363418283532,71.09233333333333,9.382,1.0053333333333334,2.346666666666667,1.256,61.99813,4.425000000000001,2.5833333333333335,183.75032853633334,6.006000042
52,Hungary,Central and Eastern Europe,107.14687340200167,15928.909729951667,15.9260481922424,22.527796040616565,117.93473033321901,76.693,11.913666666666666,0.9803333333333333,3.7543333333333333,5.119,67.1918,6.745,12.323866666666667,176.0064341306667,6.000400066
53,Thailand,Southeast Asia,135.88303548709132,7235.90254349465,26.2567265583447,39.0397150071444,112.34108197517666,76.92133333333334,7.813666666666666,1.0006666666666666,0.7833333333333333,4.1355,68.25786,3.81,7.78,543.3001610893334,5.998799801
54,Argentina,Latin America and Caribbean,16.2578425031699,12154.946383850567,13.311833946835,10.520129548225533,,76.52066666666667,10.690333333333333,0.9926666666666666,9.118666666666668,4.475,67.12776,10.04,8.606666666666667,206.36199406949999,5.974699974
55,Honduras,Latin America and Caribbean,85.68729406857926,2495.3324981208834,20.6288506487651,57.20940209133969,144.15096243598467,75.08533333333332,6.588333333333334,0.9756666666666666,5.520666666666666,1.025,62.98349,7.025,2.6300000000000003,210.62808452849998,5.953199863
56,Latvia,Central and Eastern Europe,31.044282911938367,17146.4987327228,13.4264575158321,54.80246648573327,113.79016040664067,75.17,13.012,1.0346666666666666,7.5489999999999995,3.7185,66.24867,6.1,15.831366666666666,184.88336772966667,5.949999809
57,Ecuador,Latin America and Caribbean,68.77566435818973,6243.987480760426,14.8861006610676,50.8389837332904,124.01579974384934,76.798,8.833333333333334,0.9756666666666667,3.778,2.4050000000000002,68.48179,8.2,8.353333333333333,223.60060360733334,5.925199986
58,Portugal,Western Europe,112.33077817658899,22773.071027724265,8.16075224791735,36.154994891142,110.01419185158068,81.854,9.231666666666667,0.9860000000000001,7.398000000000001,5.138999999999999,70.96024,9.370000000000001,7.526666666666666,128.541191496,5.910900116
59,Jamaica,Latin America and Caribbean,270.97500769467536,5266.530554614293,13.4041505299481,54.39673745767927,156.54254118709102,74.37166666666667,9.765,0.9899999999999999,9.58,2.7945,66.55019,6.1,2.2266666666666666,132.947543905,5.889800072
60,South Korea,East Asia,528.722003514038,32325.527988008234,25.0394253880491,64.67612739606133,114.30955399050299,82.83466666666666,12.204333333333333,0.935,3.8986666666666667,12.7055,73.05902,7.335,20.581533333333333,106.49812665266666,5.872399807
61,Japan,East Asia,347.12375674439835,39825.6211765387,11.7047781866642,68.4087791495199,104.813382551122,84.46333333333332,12.799999999999999,0.977,2.497,9.2265,74.09376,10.875,13.039133333333334,39.895814256,5.870800018
62,Peru,Latin America and Caribbean,24.985423437500003,6898.6377402041535,24.786728048654,56.77448437500001,127.42325779401101,76.51400000000001,9.642666666666665,0.9616666666666666,3.3866666666666667,1.7055,69.49626,5.115,2.736666666666667,290.22173004366664,5.796800137
63,Serbia,Central and Eastern Europe,79.8410587697233,6987.383045176332,24.7263581904237,31.123103895114,141.348700839147,75.84433333333334,11.170666666666667,0.9753333333333333,12.965333333333334,5.166,66.87982,8.385,5.348333333333334,124.05464640133333,5.77820015
64,Bolivia,Latin America and Caribbean,10.480044001353866,3483.9277557566797,21.5689865956858,47.31813901966217,145.45296862026933,71.23133333333334,8.983666666666666,0.9433333333333332,3.5673333333333335,1.9505,63.27023,6.395,6.986666666666667,159.763283394,5.747499943
65,Pakistan,South Asia,275.3129821329737,1411.89852881347,58.2824187715197,4.94056143628061,168.03722413107133,67.11033333333334,5.144333333333333,0.7386666666666667,4.160333333333334,1.035,56.86659,3.05,9.846666666666666,39.857169977,5.69329977
66,Paraguay,Latin America and Caribbean,17.50798389126607,5614.205947951387,11.9090808488171,41.9353972648712,139.46458225667502,74.12433333333333,8.478333333333333,0.9659999999999999,4.652666666666668,1.056,65.80192,6.65,6.13,212.28368284799998,5.692100048
67,Dominican Republic,Latin America and Caribbean,219.9628441316497,7980.704827361199,13.726321150433,44.047195197681596,129.11581598418934,73.887,7.998,0.9993333333333334,5.8053333333333335,2.33,63.97591,5.78,5.54,247.7105102635,5.689199924
68,Bosnia and Herzegovina,Central and Eastern Europe,64.95091796875,5861.46012327632,27.7476689647337,42.73261718749999,104.01894260122634,77.26333333333334,9.799,0.9333333333333332,19.117333333333335,6.509499999999999,67.18837,8.915,8.166666666666666,117.19973606933335,5.674099922
