Country,Regional Indicator,Population density (people per sq. km of land area),GDP per capita (current US$),"Unemployment, total (% of labour force)",Consumer price index (2010 = 100),Mean years of schooling (years),Life expectancy at birth (years),Healthy life expectancy (HALE) at birth (years),Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%),Age-standardized suicide rates (per 100 000 population),Gender Development Index (GDI),"Person held per 100,000 population","Carbon dioxide emissions, production emissions per capita (tonnes)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Happiness Index
Ethiopia,Sub-Saharan Africa,96.72802357010126,798.602922321902,2.092,278.7831908940793,2.824333333333333,66.23733333333332,59.893730000000005,3.4,9.54,0.843,118.63653055741973,0.13699999999999998,38.9787377576037,15.243600554654668,4.186200142
Finland,Western Europe,18.146601079231367,48313.4367959024,7.532,111.17516112701134,12.805666666666667,81.73566666666667,70.99583,9.09,14.079100000000002,0.99,54.22686266966667,8.31,5.8613310008192805,73.7332192682285,7.808700085
France,Western Europe,122.52537239654198,40278.795929837186,8.961,108.58511206133001,11.437999999999999,82.54433333333334,72.08364,11.325,10.0346,0.9873333333333334,107.5492446396667,5.2715,11.814963616289301,31.204422553268433,6.663799762999999
Gabon,Sub-Saharan Africa,8.223263605904187,7652.1462444043445,19.930999999999997,118.85291515733769,8.478,66.16533333333334,57.56165,2.765,13.5074,0.9153333333333332,187.062352414,2.5505,44.385548464417894,91.4128924593472,4.829299927
Gambia,Sub-Saharan Africa,225.35204216073768,728.173904418985,9.073,161.79022661648602,3.7939999999999996,61.74166666666667,57.03974,3.215,9.696666666666667,0.8416666666666667,118.63653055741973,0.2665,33.982638553814695,25.1123188405797,4.750599861
Georgia,Commonwealth of Independent States,65.16856199773723,4592.590790384594,14.040666666666667,128.4072722222223,12.921,73.59466666666667,64.67918,7.085,7.856666666666666,0.9793333333333332,238.1304233063333,2.648,22.196054618119398,40.615915959130795,4.672599792
Germany,Western Europe,237.23749869981663,46429.12510328257,3.391,111.15132743502535,14.138666666666666,81.18299999999998,70.89113,11.375,8.356666666666667,0.9696666666666666,78.12519406966665,9.3925,12.028767360745,32.6839228017867,7.075799942000001
Ghana,Sub-Saharan Africa,130.82890920277768,2193.9256260601264,4.236999999999999,259.8001729626017,7.184,63.771,57.97876,3.435,10.879600000000002,0.9079999999999999,49.7901034105,0.6105,34.713514102152,35.032345961149694,5.1479997630000005
Greece,Western Europe,83.29232738557023,19139.097021754063,19.33933333333333,101.5671329518353,10.544,82.07100000000001,70.87168,7.845,3.686666666666666,0.9636666666666668,99.98510942200001,7.051500000000001,16.218266380655802,30.269976726144296,5.514999866
Guatemala,Latin America and Caribbean,152.539486126664,4523.702579513344,2.4410000000000003,137.86049951298202,6.519666666666668,74.05766666666666,62.30202,5.76,6.183333333333334,0.9416666666666664,143.2491840343333,1.0114999999999998,24.0706489340746,33.13736468831649,6.398900032
Guinea,Sub-Saharan Africa,50.53591350588747,956.2766399541317,4.287,240.6204539253033,2.729333333333333,61.16366666666667,53.32006,4.1,12.346666666666666,0.8163333333333332,26.517461749000002,0.255,26.062490198745,25.5127787725867,4.949299812
Haiti,Latin America and Caribbean,403.58767537493964,1387.0600656355434,13.702666666666666,183.837536034143,5.541999999999999,63.65,55.80461999999999,7.885,11.3307,0.8770000000000001,80.3631703945,0.2705,15.0198243767223,12.827285921625533,3.720799923
Honduras,Latin America and Caribbean,85.68729406857926,2495.3324981208834,5.520666666666666,144.1509624359847,6.588333333333334,75.08533333333331,62.98349,7.025,2.6300000000000003,0.9756666666666666,210.62808452849998,1.025,20.628850648765102,57.20940209133968,5.953199862999999
Hong Kong S.A.R. of China,East Asia,7095.269841269844,47687.6705829748,3.207333333333333,131.10685589847537,12.244666666666667,84.68,68.99152749999999,6.84,14.753583333333335,0.9686666666666666,107.76244294466666,5.8815,32.380412112739755,41.28229957424054,5.510399818
Hungary,Central and Eastern Europe,107.14687340200169,15928.909729951667,3.754333333333333,117.934730333219,11.913666666666666,76.693,67.1918,6.745,12.323866666666667,0.9803333333333332,176.0064341306667,5.119,15.926048192242401,22.527796040616565,6.000400066
Iceland,Western Europe,3.4998537244775294,71807.13843934036,2.7626666666666666,125.39641912972866,12.558000000000002,82.85666666666667,71.98051,8.405000000000001,10.977633333333333,0.9686666666666666,40.680056486999995,10.7955,6.4811472626574895,0.4971922700768987,7.504499912000001
India,South Asia,454.92516096628,2026.1111892779863,5.3679999999999986,166.63260825102032,6.468,69.41366666666667,60.33404,3.54,12.756233333333332,0.8183333333333332,34.383511880666674,1.8985,90.87321046889929,24.09102680958837,3.573299885
Indonesia,Southeast Asia,142.55463104945034,3955.54637770068,4.4609999999999985,146.69632856859866,8.040999999999999,71.50366666666666,62.83141,2.87,2.563333333333333,0.938,92.526382197,2.252,16.5026533008949,49.71681600381496,5.285600185
Iran,Middle East and North Africa,50.21979604116015,4077.8069963139674,11.840666666666666,426.12812576557405,10.169666666666666,76.47666666666667,66.25681,8.66,5.473333333333333,0.8686666666666666,268.8145283966667,8.655000000000001,38.9787602813703,6.586010216360913,4.672399998
Iraq,Middle East and North Africa,88.52702582341307,5627.310217035368,12.901333333333332,119.631418204335,7.226333333333333,70.44933333333333,62.65886999999999,4.12,4.9300000000000015,0.7726666666666667,182.25669342084723,5.151,61.6362357139826,1.9003611837983303,4.7848000530000006
Ireland,Western Europe,70.68778245512169,76519.0914107207,5.793333333333332,105.75222521817264,12.572666666666667,82.095,71.07451,7.04,9.133333333333333,0.9783333333333334,80.63837160199999,8.1135,8.20857673526837,11.235592974306867,7.093699932000001
Israel,Middle East and North Africa,410.5067775723967,42262.94348845717,4.024666666666668,107.282888052119,12.984333333333336,82.81733333333334,72.37872,7.51,5.123333333333333,0.973,232.796405403,7.757000000000001,21.381102240014602,6.469500924214421,7.128600121
Italy,Western Europe,203.12184968156865,33524.5235626558,10.569333333333333,109.76333925437667,10.312333333333333,83.34866666666666,71.91969,8.675,4.53,0.9686666666666666,100.30422234266666,5.6635,16.7507119446607,31.89726155077487,6.38740015
Ivory Coast,Sub-Saharan Africa,78.85037211740044,2233.80330317902,3.266666666666667,112.30503259935836,5.224,57.40633333333333,54.8051,4.32,15.986233333333333,0.8190000000000001,118.63653055741973,0.331,25.8862663364222,9.630450733752623,5.233300208999999
Jamaica,Latin America and Caribbean,270.97500769467536,5266.530554614294,9.58,156.54254118709102,9.765,74.37166666666667,66.55019,6.1,2.2266666666666666,0.99,132.947543905,2.7945,13.4041505299481,54.39673745767927,5.889800072000001
Japan,East Asia,347.12375674439835,39825.6211765387,2.497,104.813382551122,12.8,84.46333333333331,74.09376,10.875,13.039133333333336,0.977,39.895814256,9.2265,11.7047781866642,68.4087791495199,5.870800018
Jordan,Middle East and North Africa,112.08552601937369,4315.052154394984,14.929666666666668,123.196203712128,10.452,74.40899999999999,67.60002,7.955,1.93,0.8736666666666667,160.43589513,2.4435,33.0060811782318,1.09822031989187,4.6333999630000005
Kazakhstan,Commonwealth of Independent States,6.769628847649738,9624.26783678114,4.7716666666666665,178.86281112286133,11.813666666666668,73.188,64.98934,3.025,19.55153333333333,0.992,196.629691615,16.617,13.824288355390902,1.2579917768640967,6.0578999520000005
Kenya,Sub-Saharan Africa,90.30448454393176,1780.0767528810566,2.6573333333333333,180.9697885923513,6.534666666666666,66.31700000000001,57.67739,5.005,10.8791,0.9296666666666668,101.17694323633332,0.36,28.5783742715702,6.327505827505827,4.583000183
Kuwait,Middle East and North Africa,231.95834268612063,31843.926344387568,2.018666666666667,125.464429820998,7.276,75.39966666666669,70.08771999999999,5.15,2.5733333333333337,0.9766666666666668,129.15545053600002,23.884,60.7451595380732,0.35072951739618397,6.102099895
Kyrgyzstan,Commonwealth of Independent States,32.98088286409453,1308.3139709968766,6.3933333333333335,153.73330003409401,10.953333333333333,71.32133333333333,65.77573000000001,6.36,8.81,0.9583333333333334,173.9543936105,1.5635,22.737768057102,6.667890545707332,5.541500092000001
Laos,Southeast Asia,30.59501010976313,2553.3684888850103,0.6423333333333333,132.07738202911332,5.2280000000000015,67.60233333333333,60.51048,2.39,6.12,0.9256666666666667,213.73756515702084,2.6785,25.1095383439169,72.2032062391681,4.888599873
Latvia,Central and Eastern Europe,31.04428291193837,17146.4987327228,7.548999999999999,113.79016040664068,13.012,75.17,66.24866999999999,6.1,15.831366666666666,1.0346666666666666,184.88336772966667,3.7185,13.4264575158321,54.80246648573327,5.9499998089999995
Lebanon,Middle East and North Africa,669.0938416422288,7818.740458400481,6.198999999999999,125.08493368170099,8.706333333333333,78.87933333333334,65.96324,8.399999999999999,2.76,0.8929999999999999,95.681798273,3.5305,30.621110507606602,13.893450635386133,4.771500111
Lesotho,Sub-Saharan Africa,69.44582784365393,1136.26695674426,23.83666666666667,148.49382251891234,6.443666666666666,53.66066666666666,44.24282,9.114999999999998,92.28126666666668,1.0173333333333332,118.63653055741973,1.2965,28.0286535158261,1.13702239789196,3.6528000830000003
Liberia,Sub-Saharan Africa,50.03659330011076,701.2305138845461,2.9166666666666665,201.85440552573155,4.714,63.70833333333334,54.91364,7.45,7.45,0.8913333333333333,48.68147449600001,0.3215,17.9841124551525,79.7130398671096,4.557899952
Libya,Middle East and North Africa,3.795829402381683,7106.59068892545,18.552666666666667,160.47984670469074,7.573333333333332,72.718,65.21575,6.099285714285715,5.223333333333334,0.971,182.25669342084723,8.02,54.254681793931894,0.123327687918433,5.488800049
Lithuania,Central and Eastern Europe,44.832542027667856,18532.09342886767,6.524000000000001,115.568696953447,12.999666666666668,75.72466666666666,66.68871,6.525,21.5758,1.0296666666666667,228.6132721,4.7755,11.853282358745599,35.092949991869304,6.215499877999999
Luxembourg,Western Europe,250.2451303155003,113445.74216229767,5.489999999999998,113.20562987229636,12.234333333333336,82.10233333333333,71.55128,5.275,8.06,0.9753333333333334,103.39363591866669,15.7365,10.364637400443302,36.5020576131687,7.2375001910000005
Macedonia,Central and Eastern Europe,82.30786412899813,5876.540347588777,20.292,112.28166666666634,9.744666666666667,75.69233333333334,66.14368,6.585,7.2,0.9493333333333333,151.31548009154167,3.5095,29.7269445083568,39.7101506740682,5.1598000530000006
Madagascar,Sub-Saharan Africa,45.14846453535007,520.7429396881003,1.7240000000000002,173.18281242592838,6.115333333333332,66.67733333333335,57.311280000000004,5.15,9.25,0.9496666666666664,88.47369157700001,0.163,22.5422828750867,21.409837286581865,4.165599823
Malawi,Sub-Saharan Africa,192.4839379154293,547.5257064621393,5.660666666666668,380.36241749720335,4.63,63.779,57.059090000000005,9.485,11.097533333333333,0.9453333333333336,80.2505324965,0.076,23.5659214726087,24.6680101824353,3.538000107
Malaysia,Southeast Asia,95.95949576421651,11024.069964610131,3.361333333333333,120.57712603455,10.231,75.99499999999998,65.65654,3.735,5.6400000000000015,0.9713333333333332,196.9492323756666,7.996,16.0358087060705,58.482240146096494,5.384300232
Maldives,South Asia,1714.51,10139.346810797115,5.989333333333334,136.42395558704368,6.885333333333333,78.62400000000002,69.95485,9.22,2.93,0.9226666666666667,373.08772396300003,2.9695,7.795820798900309,2.7333333333333294,5.197599888
Mali,Sub-Saharan Africa,15.639151006537233,867.956493052688,7.221333333333334,109.83826433363869,2.332333333333333,58.885,54.62648000000001,3.99,7.993333333333332,0.8130000000000001,118.63653055741973,0.1865,38.5266061638458,10.896663634352,4.729300021999999
Malta,Western Europe,1517.3864583333332,29703.061993620202,3.73,111.80471133689369,11.300666666666665,82.37566666666667,71.45852,9.08,5.1433333333333335,0.9666666666666668,150.24380722200002,3.639,13.9095433663149,1.3958333333333333,6.772799968999999
Mauritania,Sub-Saharan Africa,4.272692345008246,1667.039442905703,9.529666666666666,131.69340873875998,4.614,64.69933333333334,59.7632,4.54,5.423333333333333,0.8590000000000001,118.63653055741973,0.601,47.4229917763898,0.31409074738850634,4.374599934
Mauritius,Sub-Saharan Africa,623.2556650246307,10930.14038587517,6.694333333333333,128.22026314087034,9.43,74.86533333333334,63.93715,5.775,8.843333333333334,0.9726666666666668,185.95580928450002,3.79,14.457827322358199,19.0591133004926,6.101299762999999
Mexico,Latin America and Caribbean,64.9097005238475,9641.761531454491,3.3760000000000003,136.105658053017,8.656,74.99633333333334,65.75757,5.445,5.513333333333333,0.961,157.73980657233332,3.866,20.9211157874081,33.924541954954236,6.465000152999999
Moldova,Commonwealth of Independent States,94.30735271834652,4077.24843799418,4.183,159.5219525849343,11.611333333333334,71.80833333333334,64.53884000000001,6.805,12.1606,1.0133333333333334,175.46190419566662,1.224,16.2510327081515,11.752411857037664,5.607500076
Mongolia,East Asia,2.0354549512198603,4082.930934453463,6.207999999999998,182.999920222584,10.192666666666666,69.68933333333332,60.285219999999995,3.9,18.603666666666673,1.0193333333333332,146.44892898266667,8.6755,40.112849047047604,9.102554678733547,5.4562001229999995
